transaction_id,date,account_id,transaction_type,category_id,merchant_id,amount,payment_method,description
T0000064,2022-10-22,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0001012,2022-10-22,CC2,Expense,DINE,M0009,-64.58,Card,Dining
T0000687,2022-10-24,CC1,Expense,GAS,M0006,-57.09,Card,Gas
T0001301,2022-10-26,CHK,Transfer,CC_PAY,M_CC_PAY,-179.32,ACH,CC Payment CC2
T0001206,2022-10-26,CC1,Transfer,CC_PAY,M_CC_PAY,203.01,ACH,CC Payment
T0001205,2022-10-26,CHK,Transfer,CC_PAY,M_CC_PAY,-203.01,ACH,CC Payment CC1
T0001302,2022-10-26,CC2,Transfer,CC_PAY,M_CC_PAY,179.32,ACH,CC Payment
T0001013,2022-10-29,CC2,Expense,DINE,M0010,-55.66,Card,Dining
T0000688,2022-10-29,CHK,Expense,GROC,M0003,-44.72,Debit,Groceries
T0001014,2022-10-30,CC2,Expense,ENT,M0021,-10.0,Card,Entertainment
T0000689,2022-10-31,CC1,Expense,GAS,M0007,-49.37,Card,Gas
T0000579,2022-11-02,CC1,Expense,SUBS,M0011,-20.0,ACH,SUBS
T0000483,2022-11-03,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000531,2022-11-04,CHK,Expense,INS,M0015,-165.0,ACH,INS
T0000435,2022-11-04,CHK,Expense,UTIL,M0013,-98.42,ACH,UTIL
T0000387,2022-11-05,CHK,Expense,RENT,M0014,-1200.0,ACH,RENT
T0001015,2022-11-05,CC2,Expense,DINE,M0009,-57.7,Card,Dining
T0000069,2022-11-05,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000068,2022-11-05,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000067,2022-11-05,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000690,2022-11-05,CHK,Expense,GROC,M0001,-72.76,Debit,Groceries
T0000691,2022-11-07,CC1,Expense,GAS,M0007,-56.84,Card,Gas
T0000692,2022-11-12,CHK,Expense,GROC,M0002,-58.97,Debit,Groceries
T0000693,2022-11-14,CC1,Expense,GAS,M0007,-40.51,Card,Gas
T0000070,2022-11-19,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000071,2022-11-19,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000072,2022-11-19,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000694,2022-11-19,CHK,Expense,GROC,M0001,-74.04,Debit,Groceries
T0001016,2022-11-20,CC2,Expense,ENT,M0021,-34.58,Card,Entertainment
T0000695,2022-11-21,CC1,Expense,GAS,M0005,-106.43,Card,Gas
T0000092,2022-11-21,CHK,Income,SIDE,M_SIDE,569.76,ACH,Side Income
T0000696,2022-11-26,CHK,Expense,GROC,M0001,-49.81,Debit,Groceries
T0001303,2022-11-26,CHK,Transfer,CC_PAY,M_CC_PAY,-119.17,ACH,CC Payment CC2
T0001017,2022-11-26,CC2,Expense,DINE,M0009,-35.57,Card,Dining
T0001304,2022-11-26,CC2,Transfer,CC_PAY,M_CC_PAY,119.17,ACH,CC Payment
T0001207,2022-11-26,CHK,Transfer,CC_PAY,M_CC_PAY,-199.06,ACH,CC Payment CC1
T0001208,2022-11-26,CC1,Transfer,CC_PAY,M_CC_PAY,199.06,ACH,CC Payment
T0000697,2022-11-28,CC1,Expense,GAS,M0007,-38.2,Card,Gas
T0000097,2022-12-01,SAV,Income,INT,M_BANKINT,43.16,ACH,Interest
T0000073,2022-12-03,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000698,2022-12-03,CHK,Expense,GROC,M0003,-94.61,Debit,Groceries
T0000075,2022-12-03,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000074,2022-12-03,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000436,2022-12-03,CHK,Expense,UTIL,M0013,-185.31,ACH,UTIL
T0000388,2022-12-03,CHK,Expense,RENT,M0014,-1200.0,ACH,RENT
T0001018,2022-12-03,CC2,Expense,DINE,M0010,-42.3,Card,Dining
T0000532,2022-12-03,CHK,Expense,INS,M0015,-165.0,ACH,INS
T0000580,2022-12-04,CC1,Expense,SUBS,M0011,-20.0,ACH,SUBS
T0000484,2022-12-04,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000699,2022-12-10,CHK,Expense,GROC,M0002,-62.89,Debit,Groceries
T0001019,2022-12-10,CC2,Expense,DINE,M0010,-37.28,Card,Dining
T0000700,2022-12-12,CC1,Expense,GAS,M0005,-35.43,Card,Gas
T0000701,2022-12-17,CHK,Expense,GROC,M0002,-51.07,Debit,Groceries
T0001020,2022-12-17,CC2,Expense,DINE,M0010,-38.88,Card,Dining
T0000076,2022-12-17,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000077,2022-12-17,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000078,2022-12-17,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0001021,2022-12-18,CC2,Expense,ENT,M0021,-19.41,Card,Entertainment
T0000702,2022-12-19,CC1,Expense,GAS,M0005,-15.0,Card,Gas
T0000093,2022-12-19,CHK,Income,SIDE,M_SIDE,464.93,ACH,Side Income
T0001022,2022-12-24,CC2,Expense,DINE,M0009,-62.76,Card,Dining
T0000703,2022-12-24,CHK,Expense,GROC,M0004,-38.86,Debit,Groceries
T0001023,2022-12-25,CC2,Expense,ENT,M0021,-29.42,Card,Entertainment
T0001306,2022-12-26,CC2,Transfer,CC_PAY,M_CC_PAY,187.49,ACH,CC Payment
T0001305,2022-12-26,CHK,Transfer,CC_PAY,M_CC_PAY,-187.49,ACH,CC Payment CC2
T0001209,2022-12-26,CHK,Transfer,CC_PAY,M_CC_PAY,-65.45,ACH,CC Payment CC1
T0001210,2022-12-26,CC1,Transfer,CC_PAY,M_CC_PAY,65.45,ACH,CC Payment
T0000079,2022-12-31,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck
T0000080,2022-12-31,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution
T0000081,2022-12-31,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution
T0000704,2022-12-31,CHK,Expense,GROC,M0002,-78.71,Debit,Groceries
T0001024,2023-01-01,CC2,Expense,ENT,M0022,-67.65,Card,Entertainment
T0000389,2023-01-02,CHK,Expense,RENT,M0014,-1250.0,ACH,RENT
T0000581,2023-01-02,CC1,Expense,SUBS,M0011,-22.0,ACH,SUBS
T0000485,2023-01-02,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000705,2023-01-02,CC1,Expense,GAS,M0007,-19.52,Card,Gas
T0000533,2023-01-04,CHK,Expense,INS,M0015,-175.0,ACH,INS
T0000437,2023-01-05,CHK,Expense,UTIL,M0013,-88.83,ACH,UTIL
T0000706,2023-01-07,CHK,Expense,GROC,M0003,-63.41,Debit,Groceries
T0000707,2023-01-09,CC1,Expense,GAS,M0005,-66.12,Card,Gas
T0000177,2023-01-09,CHK,Income,SIDE,M_SIDE,681.59,ACH,Side Income
T0000098,2023-01-14,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0000099,2023-01-14,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0000708,2023-01-14,CHK,Expense,GROC,M0003,-73.03,Debit,Groceries
T0001025,2023-01-14,CC2,Expense,DINE,M0009,-15.0,Card,Dining
T0000100,2023-01-14,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0001026,2023-01-15,CC2,Expense,ENT,M0022,-64.1,Card,Entertainment
T0000709,2023-01-16,CC1,Expense,GAS,M0007,-67.62,Card,Gas
T0001027,2023-01-21,CC2,Expense,DINE,M0010,-52.08,Card,Dining
T0000710,2023-01-21,CHK,Expense,GROC,M0004,-60.53,Debit,Groceries
T0000711,2023-01-23,CC1,Expense,GAS,M0005,-38.96,Card,Gas
T0001211,2023-01-26,CHK,Transfer,CC_PAY,M_CC_PAY,-229.9,ACH,CC Payment CC1
T0001307,2023-01-26,CHK,Transfer,CC_PAY,M_CC_PAY,-214.17,ACH,CC Payment CC2
T0001212,2023-01-26,CC1,Transfer,CC_PAY,M_CC_PAY,229.9,ACH,CC Payment
T0001308,2023-01-26,CC2,Transfer,CC_PAY,M_CC_PAY,214.17,ACH,CC Payment
T0000102,2023-01-28,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0000101,2023-01-28,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0000712,2023-01-28,CHK,Expense,GROC,M0001,-111.21,Debit,Groceries
T0001028,2023-01-28,CC2,Expense,DINE,M0009,-80.74,Card,Dining
T0000103,2023-01-28,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0000713,2023-01-30,CC1,Expense,GAS,M0008,-78.18,Card,Gas
T0000390,2023-02-02,CHK,Expense,RENT,M0014,-1250.0,ACH,RENT
T0000486,2023-02-03,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000582,2023-02-03,CC1,Expense,SUBS,M0011,-22.0,ACH,SUBS
T0000714,2023-02-04,CHK,Expense,GROC,M0001,-63.02,Debit,Groceries
T0001029,2023-02-04,CC2,Expense,DINE,M0010,-60.03,Card,Dining
T0000534,2023-02-05,CHK,Expense,INS,M0015,-175.0,ACH,INS
T0001030,2023-02-05,CC2,Expense,ENT,M0022,-40.59,Card,Entertainment
T0000438,2023-02-05,CHK,Expense,UTIL,M0013,-124.0,ACH,UTIL
T0000715,2023-02-06,CC1,Expense,GAS,M0008,-42.97,Card,Gas
T0000104,2023-02-11,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0000106,2023-02-11,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0000105,2023-02-11,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0000716,2023-02-11,CHK,Expense,GROC,M0004,-71.06,Debit,Groceries
T0001031,2023-02-12,CC2,Expense,ENT,M0022,-26.91,Card,Entertainment
T0000717,2023-02-13,CC1,Expense,GAS,M0006,-70.34,Card,Gas
T0000176,2023-02-15,CHK,Income,BONUS,M_PAYROLL,7798.16,Direct Deposit,Annual Bonus
T0000178,2023-02-15,CHK,Income,SIDE,M_SIDE,365.34,ACH,Side Income
T0000718,2023-02-18,CHK,Expense,GROC,M0001,-62.47,Debit,Groceries
T0001032,2023-02-18,CC2,Expense,DINE,M0010,-28.95,Card,Dining
T0000719,2023-02-20,CC1,Expense,GAS,M0007,-61.52,Card,Gas
T0000720,2023-02-25,CHK,Expense,GROC,M0002,-105.26,Debit,Groceries
T0000107,2023-02-25,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0001033,2023-02-25,CC2,Expense,DINE,M0010,-16.06,Card,Dining
T0000108,2023-02-25,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0000109,2023-02-25,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0001310,2023-02-26,CC2,Transfer,CC_PAY,M_CC_PAY,207.01,ACH,CC Payment
T0001309,2023-02-26,CHK,Transfer,CC_PAY,M_CC_PAY,-207.01,ACH,CC Payment CC2
T0001034,2023-02-26,CC2,Expense,ENT,M0022,-44.06,Card,Entertainment
T0001214,2023-02-26,CC1,Transfer,CC_PAY,M_CC_PAY,189.46,ACH,CC Payment
T0001213,2023-02-26,CHK,Transfer,CC_PAY,M_CC_PAY,-189.46,ACH,CC Payment CC1
T0000721,2023-02-27,CC1,Expense,GAS,M0007,-20.17,Card,Gas
T0000189,2023-03-01,SAV,Income,INT,M_BANKINT,25.03,ACH,Interest
T0000391,2023-03-02,CHK,Expense,RENT,M0014,-1250.0,ACH,RENT
T0000535,2023-03-03,CHK,Expense,INS,M0015,-175.0,ACH,INS
T0000722,2023-03-04,CHK,Expense,GROC,M0003,-68.01,Debit,Groceries
T0001035,2023-03-04,CC2,Expense,DINE,M0009,-19.67,Card,Dining
T0000487,2023-03-04,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000583,2023-03-04,CC1,Expense,SUBS,M0011,-22.0,ACH,SUBS
T0000439,2023-03-05,CHK,Expense,UTIL,M0013,-110.91,ACH,UTIL
T0000723,2023-03-06,CC1,Expense,GAS,M0005,-57.19,Card,Gas
T0000179,2023-03-07,CHK,Income,SIDE,M_SIDE,753.2,ACH,Side Income
T0000724,2023-03-11,CHK,Expense,GROC,M0004,-107.92,Debit,Groceries
T0000110,2023-03-11,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0000111,2023-03-11,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0000112,2023-03-11,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0000725,2023-03-13,CC1,Expense,GAS,M0006,-71.26,Card,Gas
T0000726,2023-03-18,CHK,Expense,GROC,M0004,-47.47,Debit,Groceries
T0001036,2023-03-19,CC2,Expense,ENT,M0022,-64.3,Card,Entertainment
T0000727,2023-03-20,CC1,Expense,GAS,M0008,-96.92,Card,Gas
T0000728,2023-03-25,CHK,Expense,GROC,M0002,-94.32,Debit,Groceries
T0001037,2023-03-25,CC2,Expense,DINE,M0009,-77.48,Card,Dining
T0000113,2023-03-25,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0000114,2023-03-25,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0000115,2023-03-25,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0001311,2023-03-26,CHK,Transfer,CC_PAY,M_CC_PAY,-126.29,ACH,CC Payment CC2
T0001215,2023-03-26,CHK,Transfer,CC_PAY,M_CC_PAY,-257.67,ACH,CC Payment CC1
T0001216,2023-03-26,CC1,Transfer,CC_PAY,M_CC_PAY,257.67,ACH,CC Payment
T0001312,2023-03-26,CC2,Transfer,CC_PAY,M_CC_PAY,126.29,ACH,CC Payment
T0001038,2023-03-26,CC2,Expense,ENT,M0021,-10.0,Card,Entertainment
T0000729,2023-03-27,CC1,Expense,GAS,M0005,-58.08,Card,Gas
T0000730,2023-04-01,CHK,Expense,GROC,M0004,-119.68,Debit,Groceries
T0000488,2023-04-02,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000584,2023-04-02,CC1,Expense,SUBS,M0011,-22.0,ACH,SUBS
T0000440,2023-04-03,CHK,Expense,UTIL,M0013,-129.27,ACH,UTIL
T0000731,2023-04-03,CC1,Expense,GAS,M0008,-52.78,Card,Gas
T0000536,2023-04-03,CHK,Expense,INS,M0015,-175.0,ACH,INS
T0000392,2023-04-04,CHK,Expense,RENT,M0014,-1250.0,ACH,RENT
T0000116,2023-04-08,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0000118,2023-04-08,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0000117,2023-04-08,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0000732,2023-04-08,CHK,Expense,GROC,M0003,-86.51,Debit,Groceries
T0001039,2023-04-15,CC2,Expense,DINE,M0009,-42.56,Card,Dining
T0000733,2023-04-15,CHK,Expense,GROC,M0003,-64.07,Debit,Groceries
T0000734,2023-04-17,CC1,Expense,GAS,M0008,-49.44,Card,Gas
T0000180,2023-04-21,CHK,Income,SIDE,M_SIDE,716.4,ACH,Side Income
T0000121,2023-04-22,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0000120,2023-04-22,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0001040,2023-04-22,CC2,Expense,DINE,M0009,-51.7,Card,Dining
T0000735,2023-04-22,CHK,Expense,GROC,M0003,-78.01,Debit,Groceries
T0000119,2023-04-22,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0001217,2023-04-26,CHK,Transfer,CC_PAY,M_CC_PAY,-90.9,ACH,CC Payment CC1
T0001314,2023-04-26,CC2,Transfer,CC_PAY,M_CC_PAY,98.03,ACH,CC Payment
T0001313,2023-04-26,CHK,Transfer,CC_PAY,M_CC_PAY,-98.03,ACH,CC Payment CC2
T0001218,2023-04-26,CC1,Transfer,CC_PAY,M_CC_PAY,90.9,ACH,CC Payment
T0001041,2023-04-29,CC2,Expense,DINE,M0009,-41.99,Card,Dining
T0000736,2023-04-29,CHK,Expense,GROC,M0002,-46.46,Debit,Groceries
T0000737,2023-05-01,CC1,Expense,GAS,M0006,-72.54,Card,Gas
T0000393,2023-05-04,CHK,Expense,RENT,M0014,-1250.0,ACH,RENT
T0000537,2023-05-04,CHK,Expense,INS,M0015,-175.0,ACH,INS
T0000489,2023-05-04,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000585,2023-05-04,CC1,Expense,SUBS,M0011,-22.0,ACH,SUBS
T0000441,2023-05-05,CHK,Expense,UTIL,M0013,-209.93,ACH,UTIL
T0000738,2023-05-06,CHK,Expense,GROC,M0004,-50.82,Debit,Groceries
T0000124,2023-05-06,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0000123,2023-05-06,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0000122,2023-05-06,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0000181,2023-05-11,CHK,Income,SIDE,M_SIDE,393.57,ACH,Side Income
T0000739,2023-05-13,CHK,Expense,GROC,M0002,-91.62,Debit,Groceries
T0001042,2023-05-14,CC2,Expense,ENT,M0022,-61.57,Card,Entertainment
T0000740,2023-05-15,CC1,Expense,GAS,M0008,-58.65,Card,Gas
T0000126,2023-05-20,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0000741,2023-05-20,CHK,Expense,GROC,M0004,-48.5,Debit,Groceries
T0001043,2023-05-20,CC2,Expense,DINE,M0010,-53.27,Card,Dining
T0000127,2023-05-20,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0000125,2023-05-20,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0001316,2023-05-26,CC2,Transfer,CC_PAY,M_CC_PAY,88.37,ACH,CC Payment
T0001315,2023-05-26,CHK,Transfer,CC_PAY,M_CC_PAY,-88.37,ACH,CC Payment CC2
T0001220,2023-05-26,CC1,Transfer,CC_PAY,M_CC_PAY,140.04,ACH,CC Payment
T0001219,2023-05-26,CHK,Transfer,CC_PAY,M_CC_PAY,-140.04,ACH,CC Payment CC1
T0000742,2023-05-27,CHK,Expense,GROC,M0004,-132.82,Debit,Groceries
T0000190,2023-06-01,SAV,Income,INT,M_BANKINT,27.37,ACH,Interest
T0000442,2023-06-02,CHK,Expense,UTIL,M0013,-165.46,ACH,UTIL
T0000490,2023-06-02,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000129,2023-06-03,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0000586,2023-06-03,CC1,Expense,SUBS,M0011,-22.0,ACH,SUBS
T0000130,2023-06-03,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0000128,2023-06-03,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0001044,2023-06-03,CC2,Expense,DINE,M0010,-27.82,Card,Dining
T0000743,2023-06-03,CHK,Expense,GROC,M0002,-69.52,Debit,Groceries
T0000538,2023-06-04,CHK,Expense,INS,M0015,-175.0,ACH,INS
T0000394,2023-06-05,CHK,Expense,RENT,M0014,-1250.0,ACH,RENT
T0000744,2023-06-05,CC1,Expense,GAS,M0005,-57.42,Card,Gas
T0000182,2023-06-08,CHK,Income,SIDE,M_SIDE,487.69,ACH,Side Income
T0000745,2023-06-10,CHK,Expense,GROC,M0001,-77.55,Debit,Groceries
T0000746,2023-06-12,CC1,Expense,GAS,M0005,-28.62,Card,Gas
T0001180,2023-06-12,CC1,Expense,DINE,M0010,-210.0,Card,Dining
T0001045,2023-06-17,CC2,Expense,DINE,M0009,-47.06,Card,Dining
T0000747,2023-06-17,CHK,Expense,GROC,M0004,-101.38,Debit,Groceries
T0000131,2023-06-17,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0000132,2023-06-17,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0000133,2023-06-17,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0000748,2023-06-19,CC1,Expense,GAS,M0008,-83.17,Card,Gas
T0000749,2023-06-24,CHK,Expense,GROC,M0003,-79.68,Debit,Groceries
T0001046,2023-06-25,CC2,Expense,ENT,M0021,-51.86,Card,Entertainment
T0000750,2023-06-26,CC1,Expense,GAS,M0008,-60.54,Card,Gas
T0001221,2023-06-26,CHK,Transfer,CC_PAY,M_CC_PAY,-752.99,ACH,CC Payment CC1
T0001222,2023-06-26,CC1,Transfer,CC_PAY,M_CC_PAY,752.99,ACH,CC Payment
T0001317,2023-06-26,CHK,Transfer,CC_PAY,M_CC_PAY,-107.45,ACH,CC Payment CC2
T0001318,2023-06-26,CC2,Transfer,CC_PAY,M_CC_PAY,107.45,ACH,CC Payment
T0000135,2023-07-01,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0000751,2023-07-01,CHK,Expense,GROC,M0003,-93.4,Debit,Groceries
T0000136,2023-07-01,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0001047,2023-07-01,CC2,Expense,DINE,M0010,-35.7,Card,Dining
T0000134,2023-07-01,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0000587,2023-07-02,CC1,Expense,SUBS,M0011,-22.0,ACH,SUBS
T0000395,2023-07-02,CHK,Expense,RENT,M0014,-1250.0,ACH,RENT
T0000752,2023-07-03,CC1,Expense,GAS,M0006,-64.76,Card,Gas
T0000539,2023-07-05,CHK,Expense,INS,M0015,-175.0,ACH,INS
T0000443,2023-07-05,CHK,Expense,UTIL,M0013,-140.91,ACH,UTIL
T0000491,2023-07-05,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000753,2023-07-08,CHK,Expense,GROC,M0002,-61.96,Debit,Groceries
T0000139,2023-07-15,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0000138,2023-07-15,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0000137,2023-07-15,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0000754,2023-07-15,CHK,Expense,GROC,M0002,-97.5,Debit,Groceries
T0001048,2023-07-15,CC2,Expense,DINE,M0009,-15.0,Card,Dining
T0000755,2023-07-17,CC1,Expense,GAS,M0008,-57.96,Card,Gas
T0000183,2023-07-22,CHK,Income,SIDE,M_SIDE,348.4,ACH,Side Income
T0000756,2023-07-22,CHK,Expense,GROC,M0002,-76.71,Debit,Groceries
T0001049,2023-07-23,CC2,Expense,ENT,M0022,-27.02,Card,Entertainment
T0000757,2023-07-24,CC1,Expense,GAS,M0007,-45.86,Card,Gas
T0001224,2023-07-26,CC1,Transfer,CC_PAY,M_CC_PAY,187.62,ACH,CC Payment
T0001223,2023-07-26,CHK,Transfer,CC_PAY,M_CC_PAY,-187.62,ACH,CC Payment CC1
T0001319,2023-07-26,CHK,Transfer,CC_PAY,M_CC_PAY,-76.37,ACH,CC Payment CC2
T0001320,2023-07-26,CC2,Transfer,CC_PAY,M_CC_PAY,76.37,ACH,CC Payment
T0000758,2023-07-29,CHK,Expense,GROC,M0003,-57.34,Debit,Groceries
T0000141,2023-07-29,CHK,Transfer,RET401,M_401K,-276.92,Payroll,401k Contribution
T0000142,2023-07-29,INV401,Transfer,RET401,M_401K,276.92,Payroll,401k Contribution
T0000140,2023-07-29,CHK,Income,PAY,M_PAYROLL,4615.38,Direct Deposit,Paycheck
T0000759,2023-07-31,CC1,Expense,GAS,M0008,-61.16,Card,Gas
T0000492,2023-08-02,CHK,Expense,PHON,M0012,-85.0,ACH,PHON
T0000444,2023-08-03,CHK,Expense,UTIL,M0013,-173.51,ACH,UTIL
T0000540,2023-08-04,CHK,Expense,INS,M0015,-175.0,ACH,INS
T0001050,2023-08-05,CC2,Expense,DINE,M0009,-52.67,Card,Dining
T0000588,2023-08-05,CC1,Expense,SUBS,M0011,-22.0,ACH,SUBS
